inci_name,ingredient_category,primary_function,suitable_oily,suitable_dry,suitable_combination,suitable_normal,suitable_sensitive,suitable_mature,skin_concerns_helps,skin_concerns_worsens,age_group_suitable,pregnancy_safe,irritancy_potential,comedogenicity_0_to_5,ph_optimal_range,concentration_min_percent,concentration_max_percent,avoid_combining_with,usage_notes
Tartaric Acid,AHA/pH adjuster,Exfoliating/pH Balancing,yes,moderate,yes,yes,moderate,yes,texture|dullness|pores,redness|sensitivity,adult|mature,consult,medium,1,3.5-5,2.0,10.0,retinol (same time),Grape-derived AHA. Gentler than glycolic acid. Often combined with other AHAs in exfoliant formulas.
Citric Acid,AHA/pH adjuster,Exfoliating/pH balancing/Antioxidant,yes,yes,yes,yes,moderate,yes,texture|dullness|pores,redness (high %),all,yes,low,0,3-7,0.1,5.0,none,Primarily a pH adjuster at low concentrations. Mild AHA and chelating agent. Antioxidant synergist.
Malic Acid,AHA/Exfoliant,Exfoliating/Brightening/pH balancing,yes,moderate,yes,yes,moderate,yes,texture|dullness|hyperpigmentation,redness|sensitivity,adult|mature,consult,medium,1,3.5-5,2.0,10.0,retinol (same time),Apple-derived AHA. Gentler than glycolic. Often blended with other AHAs. Good for mild exfoliation.
Betaine Salicylate,BHA/Exfoliant,Exfoliating/Gentler BHA,yes,moderate,yes,yes,yes,yes,acne|pores|texture|dullness,dryness (mild),teen|adult|mature,consult,low,1,4-6,0.5,4.0,retinol (same time),Gentler BHA alternative to salicylic acid. Suitable for sensitive acne-prone skin. Lower irritancy than salicylic acid.
Polyhydroxy Acid,PHA/Exfoliant,Gentle exfoliating/Antioxidant,yes,yes,yes,yes,yes,yes,texture|dullness|aging|barrier,none,all,yes,low,0,3.5-5,2.0,10.0,none,Broad term covering gluconolactone and lactobionic acid. Very gentle multifunctional exfoliant. Safe for sensitive skin.
Lactobionic Acid,PHA/Exfoliant,Gentle exfoliating/Antioxidant/Moisturizing,yes,yes,yes,yes,yes,yes,texture|dullness|aging|barrier|dryness,none,all,yes,low,0,3.5-5,2.0,10.0,none,Galactose-gluconic acid PHA. Most moisturising PHA. Chelating and antioxidant properties. Excellent for rosacea-prone skin.
Phytic Acid,Chelating/Brightening Agent,Brightening/Metal chelation/Antioxidant,yes,yes,yes,yes,yes,yes,hyperpigmentation|dullness|pores|texture,redness (high %),all,yes,low,0,3.5-6,0.5,3.0,none,IP6 from rice/corn. Chelates metal ions triggering oxidation. Gentle tyrosinase inhibitor and antioxidant.
Lipoic Acid,Antioxidant Active,Antioxidant/Anti-aging,yes,yes,yes,yes,moderate,yes,aging|dullness|redness|texture,redness|sensitivity (high %),adult|mature,consult,medium,0,3.5-7,0.1,0.5,none,Alpha-lipoic acid. Unique water- and oil-soluble antioxidant. Can cause sensitisation at high concentrations. Use at 0.1-0.5%.
Palmitoyl Tripeptide-1,Peptide/Anti-aging,Anti-aging/Collagen stimulation,yes,yes,yes,yes,yes,yes,aging|texture|dullness,none,adult|mature,consult,low,0,4-8,0.0001,0.1,none,Matrixyl 3000 component (with Palmitoyl Tetrapeptide-7). Stimulates pro-collagen I. Very well tolerated.
Palmitoyl Tetrapeptide-7,Peptide/Anti-aging,Anti-aging/Anti-inflammatory,yes,yes,yes,yes,yes,yes,aging|texture|redness|dullness,none,adult|mature,consult,low,0,4-8,0.0001,0.1,none,Matrixyl 3000 component. Reduces IL-6 inflammatory cascade. Anti-aging and anti-inflammatory peptide.
Leuphasyl,Peptide/Anti-aging,Anti-wrinkle synergist,yes,yes,yes,yes,yes,yes,aging|texture,none,adult|mature,consult,low,0,4-8,0.001,5.0,none,Acetyl Glutamyl Heptapeptide-3. Synergises strongly with Argireline (Acetyl Hexapeptide-3) for enhanced anti-wrinkle effect.
Snap-8,Peptide/Anti-aging,Anti-wrinkle/Muscle relaxing,yes,yes,yes,yes,yes,yes,aging|texture,none,adult|mature,consult,low,0,4-8,0.001,5.0,none,Acetyl Octapeptide-3. Extended version of Argireline. Targets expression lines by inhibiting SNARE complex.
Syn-Ake,Peptide/Anti-aging,Anti-wrinkle/Snake venom analog,yes,yes,yes,yes,yes,yes,aging|texture,none,adult|mature,consult,low,0,4-8,0.001,4.0,none,Dipeptide Diaminobutyroyl Benzylamide Diacetate. Synthetic waglerin-1 analog. Relaxes facial muscles. Use in PM formulas.
Leuphasyl Peptide,Peptide/Anti-aging,Anti-wrinkle complementary peptide,yes,yes,yes,yes,yes,yes,aging|texture,none,adult|mature,consult,low,0,4-8,0.001,5.0,none,Acetyl Glutamyl Heptapeptide-1. Complements Argireline in anti-wrinkle formulas. Use in combination for best results.
Octinoxate,UV Filter/Chemical Sunscreen,UVB protection,yes,yes,yes,yes,moderate,yes,none,redness (sensitive skin),adult|mature,no,medium,0,6-8,1.0,7.5,none,Common UVB filter (Ethylhexyl Methoxycinnamate). Estrogenic activity concerns. Not recommended during pregnancy. Photostable.
Oxybenzone,UV Filter/Chemical Sunscreen,UVA/UVB protection,yes,yes,yes,yes,caution,yes,none,redness|sensitivity,adult|mature,no,medium,0,6-8,1.0,6.0,none,Benzophenone-3. Broad UVA/UVB coverage. Endocrine disruption concerns and coral reef toxicity. Prohibited in several regions. Avoid in pregnancy.
Homosalate,UV Filter/Chemical Sunscreen,UVB protection,yes,yes,yes,yes,moderate,yes,none,redness (rare),adult|mature,no,medium,0,6-8,1.0,15.0,none,Common UVB filter. Mild endocrine disruption concerns. Not recommended in pregnancy. Photostable.
Octisalate,UV Filter/Chemical Sunscreen,UVB protection/Avobenzone stabilizer,yes,yes,yes,yes,moderate,yes,none,redness (rare),adult|mature,no,medium,0,6-8,1.0,5.0,none,Ethylhexyl Salicylate. UVB filter. Also improves avobenzone photostability. Low sensitisation potential.
Tinosorb M,UV Filter/Chemical Sunscreen,Broad-spectrum UVA/UVB,yes,yes,yes,yes,yes,yes,none,redness (rare),adult|mature,consult,low,0,6-8,1.0,10.0,none,Methylene Bis-Benzotriazolyl MBBT. Micro-particulate broad-spectrum filter. Photostable. Not approved in US/Canada.
Mexoryl SX,UV Filter/Chemical Sunscreen,UVA protection,yes,yes,yes,yes,yes,yes,none,redness (rare),adult|mature,consult,low,0,6-8,0.5,3.0,none,Ecamsule. Superior UVA coverage. Not FDA approved in US. Well tolerated. Found in La Roche-Posay products.
Mexoryl XL,UV Filter/Chemical Sunscreen,Broad-spectrum UVA/UVB,yes,yes,yes,yes,yes,yes,none,redness (rare),adult|mature,consult,low,0,6-8,0.5,10.0,none,Drometrizole Trisiloxane. L'Oreal proprietary broad-spectrum filter. Synergises with Mexoryl SX for full UVA coverage.
Ethylhexylglycerin,Preservative Booster,Antimicrobial/Skin conditioning,yes,yes,yes,yes,yes,yes,none,redness (rare at high conc),all,yes,low,0,4-8,0.1,1.0,none,Multifunctional preservative booster and skin conditioner. Often paired with phenoxyethanol. Very well tolerated.
Sodium Benzoate,Preservative,Antimicrobial preservation,yes,yes,yes,yes,moderate,yes,none,redness (sensitive),all,yes,low,0,3-5,0.1,0.5,ascorbic acid (low pH may form benzene),Effective antimicrobial at pH below 5. Caution: combines with Vitamin C at low pH under heat to form trace benzene. Widely used and considered safe at regulated levels.
Potassium Sorbate,Preservative,Antimicrobial/Antifungal,yes,yes,yes,yes,yes,yes,none,redness (rare),all,yes,low,0,4-6,0.1,0.6,none,Natural antifungal preservative. Active at acidic pH. Gentle. Often combined with sodium benzoate for broad preservation.
Methylparaben,Preservative,Antimicrobial/Antifungal,yes,yes,yes,yes,moderate,yes,none,redness|sensitivity,all,consult,medium,0,4-8,0.1,0.4,none,Most used paraben preservative. Considered safe by EU CosIng and FDA at regulated concentrations. Avoid if paraben-sensitive.
Propylparaben,Preservative,Antimicrobial/Antifungal,yes,yes,yes,yes,moderate,yes,none,redness|sensitivity,adult|mature,consult,medium,0,4-8,0.01,0.14,none,EU max 0.14% in leave-on. Mild endocrine disruption concern at high doses. Precautionary avoidance in pregnancy recommended.
Benzyl Alcohol,Preservative/Solvent,Antimicrobial/Fragrance component,moderate,yes,moderate,yes,caution,yes,none,redness|sensitivity,adult|mature,caution,medium,0,4-8,0.1,1.0,none,Contact allergen in fragrance-sensitive individuals. Also a natural preservative. Avoid on broken or very sensitive skin.
Chlorphenesin,Preservative,Antimicrobial/Antifungal,yes,yes,yes,yes,moderate,yes,none,redness|sensitivity,adult|mature,consult,medium,0,4-8,0.05,0.3,none,Broad-spectrum antimicrobial. EU limit 0.3% in leave-on. Not recommended for products applied to children under 3 years.
Dehydroacetic Acid,Preservative,Antimicrobial/Antifungal,yes,yes,yes,yes,moderate,yes,none,redness (rare),all,yes,low,0,4-6,0.1,0.6,none,Effective antifungal at acidic pH. Often combined with benzyl alcohol. Very mild irritancy profile.
Benzoic Acid,Preservative,Antimicrobial/pH Adjuster,yes,yes,yes,yes,moderate,yes,none,redness|sensitivity,adult|mature,consult,medium,0,2.5-5,0.1,0.5,none,Natural preservative active only at pH below 5. Mild sensitiser in some individuals. Use at lowest effective concentration.
Sorbic Acid,Preservative,Antimicrobial/Antifungal,yes,yes,yes,yes,moderate,yes,none,redness (rare),all,yes,low,0,3.5-5.5,0.1,0.6,none,Natural antifungal acid. Active at acidic pH. E200 food-grade preservative. Very gentle profile.
Glyceryl Stearate,Emulsifier,Emulsion stability/Emollient,yes,yes,yes,yes,yes,yes,dryness|texture,none,all,yes,low,1,4-8,1.0,10.0,none,Gentle glycerol monostearate co-emulsifier. Also mildly conditions skin. One of the safest emulsifiers available.
Cetearyl Glucoside,Emulsifier,O/W emulsification,yes,yes,yes,yes,yes,yes,texture|barrier,none,all,yes,low,0,4-8,1.0,10.0,none,Sugar-based non-ionic emulsifier. Natural origin. Very gentle. Excellent for sensitive and baby skin formulas.
Sodium Lauryl Sulfate,Surfactant/Emulsifier,Cleansing/Foaming,yes,caution,yes,moderate,no,moderate,acne (cleansing),dryness|barrier|sensitivity|redness,teen|adult|mature,yes,high,0,4.5-8,0.5,15.0,none,Highly effective anionic surfactant. Can significantly disrupt skin barrier with repeated use. Avoid in dry/sensitive/eczema skin. Rinse-off use only.
"1,2-Hexanediol",Humectant/Preservative Booster,Antimicrobial/Moisturizing,yes,yes,yes,yes,moderate,yes,dryness|barrier,redness|sensitivity (at higher %),all,yes,medium,0,4-8,0.5,3.0,none,Also known as Capriol 90. Dual-function humectant and preservative booster. Mild sensitisation risk at concentrations above 1%. Very effective at low levels.
Sodium Laureth Sulfate,Surfactant/Emulsifier,Cleansing/Foaming/Milder than SLS,yes,caution,yes,moderate,caution,moderate,texture (cleansing),dryness|barrier|sensitivity,teen|adult|mature,yes,medium,0,4.5-8,0.5,15.0,none,Ethoxylated SLS. Milder due to larger molecule. May contain trace 1
Cocamidopropyl Betaine,Amphoteric Surfactant,Cleansing/Foaming/Conditioning,yes,moderate,yes,yes,moderate,yes,acne (cleansing)|texture,redness|sensitivity,all,yes,medium,0,4.5-8,1.0,20.0,none,Coconut-derived amphoteric surfactant. Milder than anionic surfactants. Can cause contact allergy. Rinse-off use.
Polysorbate 20,Emulsifier/Solubilizer,Emulsification/Fragrance solubilization,yes,yes,yes,yes,yes,yes,texture,none,all,yes,low,0,4-8,0.5,15.0,none,Mild non-ionic emulsifier. Solubilises fragrance and essential oils in water-based formulas. Very gentle.
Polysorbate 60,Emulsifier,Emulsification,yes,yes,yes,yes,yes,yes,texture,none,all,yes,low,0,4-8,1.0,15.0,none,PEG-60 sorbitan ester. Thicker emulsifier than Polysorbate 20. Used in creams and body lotions. Mild.
Polysorbate 80,Emulsifier/Solubilizer,Emulsification/Penetration enhancement,yes,yes,yes,yes,yes,yes,texture,none,all,yes,low,1,4-8,0.5,15.0,none,PEG-80 sorbitan ester. Slightly comedogenic (1). Can mildly enhance the penetration of certain actives.
Lecithin,Emulsifier,Emulsification/Skin barrier support,yes,yes,yes,yes,yes,yes,dryness|barrier|texture,none,all,yes,low,0,4-8,0.1,3.0,none,Phosphatidylcholine from soy or egg. Supports skin barrier lipid structure. May be problematic for severe soy allergy.
BHT,Antioxidant/Preservative,Antioxidant/Stabilizer,yes,yes,yes,yes,moderate,yes,aging (antioxidant),sensitivity (rare),all,consult,low,0,4-8,0.001,0.1,none,Butylated hydroxytoluene. Synthetic antioxidant. Stabilises formulas. Used at trace levels. Considered safe at regulated concentrations.
BHA,Antioxidant/Preservative,Antioxidant/Stabilizer,yes,yes,yes,yes,moderate,yes,aging (antioxidant),sensitivity (rare),all,consult,low,0,4-8,0.001,0.02,none,Butylated hydroxyanisole. Antioxidant preservative at very low percentages. Safety within cosmetic use limits is well established.
Idebenone,Antioxidant Active,Antioxidant/Anti-aging,yes,yes,yes,yes,yes,yes,aging|dullness|redness|texture,none,adult|mature,yes,low,0,4-8,0.1,1.0,none,CoQ10 synthetic analog. More stable and bioavailable than CoQ10. Powerful antioxidant for anti-aging formulas.
Madecassoside,Soothing Active,Anti-inflammatory/Collagen synthesis,yes,yes,yes,yes,yes,yes,redness|sensitivity|barrier|aging,none,all,yes,low,0,4-8,0.1,3.0,none,Centella asiatica triterpene glucoside. Key cica active. Stimulates collagen synthesis and repairs compromised barrier.
Asiaticoside,Soothing Active,Anti-inflammatory/Wound healing,yes,yes,yes,yes,yes,yes,redness|sensitivity|barrier|acne,none,all,yes,low,0,4-8,0.1,2.0,none,Centella glycoside. Promotes wound healing and collagen production. Excellent for post-procedure and compromised skin.
Ceramide EOP,Barrier Active,Skin barrier repair/Essential,yes,yes,yes,yes,yes,yes,barrier|dryness|sensitivity|redness|aging,none,all,yes,low,0,5-7,0.01,5.0,none,Ceramide 1. Contains linoleic acid esterified at omega position. Critical for lamellar body function. Works synergistically with all other ceramides and cholesterol.
Pantothenic Acid,Soothing/Healing Active,Soothing/Wound healing,yes,yes,yes,yes,yes,yes,redness|sensitivity|dryness|barrier,none,all,yes,low,0,4-8,0.1,5.0,none,Vitamin B5 free acid. Soothing and wound healing. Precursor to Panthenol in skin metabolism.
Chamomile Extract,Soothing Active,Soothing/Anti-inflammatory,yes,yes,yes,yes,yes,yes,redness|sensitivity|acne|barrier,redness (Asteraceae allergy),all,yes,low,0,4-7,0.1,5.0,none,Rich in bisabolol and apigenin. Anti-inflammatory. Excellent for sensitive and reactive skin. Avoid if allergic to Asteraceae family.
Calendula Extract,Soothing Active,Soothing/Anti-inflammatory/Healing,yes,yes,yes,yes,yes,yes,redness|sensitivity|dryness|barrier,redness (Compositae allergy),all,yes,low,0,4-7,0.1,5.0,none,Pot marigold. Triterpenoid-rich wound-healing botanical. Avoid if allergic to Asteraceae/Compositae family.
Cucumber Extract,Soothing Active,Soothing/Cooling/Moisturizing,yes,yes,yes,yes,yes,yes,redness|sensitivity|puffiness|dryness,none,all,yes,low,0,4-7,0.1,10.0,none,High water content and mild astringent properties. Cooling effect. Excellent for puffy and irritated skin.
EGF,Growth Factor Active,Anti-aging/Cell renewal/Wound healing,yes,yes,yes,yes,yes,yes,aging|texture|barrier,none,adult|mature,consult,low,0,6-8,1e-05,0.01,none,sh-Oligopeptide-1. Stimulates epidermal cell proliferation. Effective at extremely low concentrations. Stability sensitive to pH and heat.
Hydrolyzed Collagen,Protein/Moisturizing,Moisturizing/Skin elasticity,yes,yes,yes,yes,yes,yes,dryness|aging|texture|barrier,none,all,yes,low,0,4-8,0.5,5.0,none,Collagen peptides. Film-forming on skin surface. Moisturising and conditioning. Cannot replace structural dermal collagen topically.
Hydrolyzed Keratin,Protein/Strengthening,Hair/Skin strengthening/Moisturizing,yes,yes,yes,yes,yes,yes,texture|dryness|barrier,none,all,yes,low,0,4-8,0.1,5.0,none,Keratin peptides. Film-forming and barrier strengthening. Better documented for hair applications but beneficial for skin barrier too.
Hydrolyzed Silk,Protein/Conditioning,Conditioning/Moisturizing/Film forming,yes,yes,yes,yes,yes,yes,texture|dryness|barrier|dullness,none,all,yes,low,0,4-8,0.1,5.0,none,Silk amino acids from sericin/fibroin. Imparts silky texture. Film-forming. Conditioning and moisturising.
Sodium Hydroxide,pH Adjuster,pH Adjustment,yes,yes,yes,yes,yes,yes,none,irritation at high concentration or undiluted,all,yes,low,0,5-9,0.001,1.0,none,Caustic soda. Used in trace amounts only to adjust formulation pH. Safe at typical cosmetic concentrations.
Citric Acid (pH),pH Adjuster/Chelating,pH Balancing/Metal chelation,yes,yes,yes,yes,yes,yes,none,redness (high %),all,yes,low,0,3-7,0.1,5.0,none,Used primarily as pH adjuster at low concentrations. Chelating agent. Distinguished from AHA exfoliant use by concentration.
Triethanolamine,pH Adjuster/Emulsifier,pH Adjustment/Emulsification,yes,yes,yes,yes,moderate,yes,none,redness|sensitivity,all,consult,medium,0,5-9,0.1,2.5,none,TEA. Neutralises carbomers and acidic actives. Can cause sensitisation. EU max 2.5% in leave-on. Do not use with nitrosating agents.
Disodium EDTA,Chelating Agent,Metal chelation/Preservative booster,yes,yes,yes,yes,yes,yes,none,redness (very rare),all,yes,low,0,4-9,0.01,0.1,none,Chelates heavy metals to prevent formulation rancidity and enhance preservative efficacy. Standard safe cosmetic ingredient.
Tetrasodium EDTA,Chelating Agent,Metal chelation/Preservative booster,yes,yes,yes,yes,yes,yes,none,redness (very rare),all,yes,low,0,4-9,0.01,0.2,none,Tetrasodium salt of EDTA. More water soluble than disodium form. Penetration enhancement concern noted at high percentages.
Carbomer,Thickener/Gelling Agent,Texture/Viscosity,yes,yes,yes,yes,yes,yes,texture,redness (very rare),all,yes,low,0,5-10,0.1,3.0,none,Polyacrylic acid cross-polymer (e.g. Carbopol 940). Must be neutralised (NaOH or TEA) to develop viscosity. Creates clear stable gels.
Xanthan Gum,Thickener/Stabilizer,Texture/Stability/Moisturizing,yes,yes,yes,yes,yes,yes,dryness|texture|barrier,none,all,yes,low,0,4-8,0.1,3.0,none,Bacterial fermentation polysaccharide. Excellent rheology modifier. Slightly moisturising. Very safe and widely used.
Hydroxypropyl Methylcellulose,Thickener/Film Former,Texture/Film forming,yes,yes,yes,yes,yes,yes,texture|barrier,none,all,yes,low,0,4-8,0.5,5.0,none,HPMC. Semi-synthetic cellulose derivative. Film-forming and thickening. Very safe and inert.
Hydroxyethylcellulose,Thickener/Gelling Agent,Texture/Viscosity,yes,yes,yes,yes,yes,yes,texture,none,all,yes,low,0,4-8,0.5,5.0,none,HEC. Water-soluble cellulose ether. Gentle thickener for transparent gels. Very safe.
Polyacrylamide,Thickener/Film Former,Texture/Film forming,yes,yes,yes,yes,yes,yes,texture|barrier,none,all,yes,low,0,4-8,1.0,40.0,none,Acrylamide polymer thickener. The polymer is safe; the residual acrylamide monomer is regulated to very low levels. Used in Sepigel 305.
Sodium Polyacrylate,Thickener/Absorbent,Texture/Super-absorbent,yes,yes,yes,yes,yes,yes,texture,none,all,yes,low,0,4-8,0.5,5.0,none,Super-absorbent acrylate polymer. Creates extremely smooth skin feel. Excellent for oily skin mattifying formulas.
Agar,Gelling Agent,Texture/Gelling,yes,yes,yes,yes,yes,yes,texture,none,all,yes,low,0,4-8,0.5,3.0,none,Red algae polysaccharide. Natural gelling agent. Vegan gelatin alternative. Very safe.
Carrageenan,Thickener/Gelling Agent,Texture/Stability,yes,yes,yes,yes,moderate,yes,texture,redness (rare),all,yes,low,0,4-8,0.05,2.0,none,Red seaweed polysaccharide. Undegraded carrageenan considered safe in cosmetics. Provides slip and stability.
Parfum,Fragrance,Sensory/Masking,moderate,moderate,moderate,moderate,caution,moderate,none,redness|sensitivity|allergy,adult|mature,consult,high,0,4-8,0.001,2.0,none,Fragrance blend. Most common contact allergen in cosmetics. Avoid in sensitive and reactive skin products. EU requires labelling of 26 allergenic fragrance components.
Lavender Extract,Soothing/Fragrance,Soothing/Anti-inflammatory/Fragrance,yes,yes,yes,yes,moderate,yes,redness|sensitivity|dryness,redness (linalool oxidation in some),all,yes,medium,0,4-7,0.1,2.0,none,Soothing and antimicrobial. Contains linalool and linalyl acetate. Oxidised linalool can cause sensitisation in some users.
Rose Extract,Soothing/Antioxidant,Soothing/Antioxidant/Fragrance,yes,yes,yes,yes,yes,yes,redness|sensitivity|aging|dullness,none,all,yes,low,0,4-7,0.1,5.0,none,Rosa damascena extract. Gentle antioxidant and soothing properties. Suitable for all skin types including sensitive.
Turmeric Extract,Antioxidant/Anti-inflammatory,Antioxidant/Brightening/Anti-inflammatory,yes,yes,yes,yes,yes,yes,hyperpigmentation|redness|dullness|aging,staining (curcumin yellow),adult|mature,yes,low,0,4-7,0.05,2.0,none,Curcumin is primary active. Potent antioxidant and anti-inflammatory. Can stain skin and fabrics yellow. Use at low concentrations.
Neem Extract,Anti-inflammatory/Antimicrobial,Anti-inflammatory/Antimicrobial/Soothing,yes,yes,yes,yes,moderate,yes,acne|redness|barrier,redness|sensitivity (high %),teen|adult|mature,yes,medium,0,4-7,0.1,3.0,none,Azadirachta indica. Contains nimbidin and nimbin. Potent antimicrobial. Strong natural odour. Dilute appropriately.
Seaweed Extract,Humectant/Antioxidant,Moisturizing/Antioxidant/Detox,yes,yes,yes,yes,yes,yes,dryness|aging|dullness|texture,none,all,yes,low,0,4-7,0.1,5.0,none,Marine algae polysaccharide extract. Moisturising and antioxidant. Suitable for all skin types.
Pomegranate Extract,Antioxidant Active,Antioxidant/Anti-aging/Brightening,yes,yes,yes,yes,yes,yes,aging|dullness|hyperpigmentation|redness,none,adult|mature,yes,low,0,4-7,0.1,5.0,none,Very high ORAC antioxidant value. Ellagic acid and punicalagins support brightening and anti-aging.
Kaolin,Absorbent/Thickener,Oil absorption/Texture/Cleansing,yes,caution,yes,yes,caution,moderate,pores|texture|acne,dryness|sensitivity (overuse),teen|adult|mature,yes,low,0,5-8,2.0,30.0,none,White clay. Oil-absorbing and mild cleansing. Can be drying with overuse. Not suitable as primary ingredient for dry or sensitive skin.
Bentonite,Absorbent/Thickener,Oil absorption/Detox/Texture,yes,no,caution,moderate,caution,moderate,pores|texture|acne|dullness,dryness|barrier|sensitivity,teen|adult|mature,yes,low,0,5-8,2.0,20.0,none,Montmorillonite clay. Highly absorbent. Very drying with overuse. Best for oily skin masks. Rinse-off use.
Zinc Sulfate,Astringent/Antimicrobial,Antimicrobial/Astringent/Wound healing,yes,moderate,yes,yes,moderate,yes,acne|redness|pores,dryness|irritation (high %),teen|adult|mature,yes,medium,0,4-7,0.25,2.0,none,Zinc salt with astringent and antimicrobial properties. Used in toners and acne treatments to reduce sebum and bacteria.
Silica,Absorbent/Thickener,Oil absorption/Texture/Mattifying,yes,moderate,yes,yes,yes,yes,pores|texture|dullness,dryness (mattifying effect),teen|adult|mature,yes,low,0,5-8,1.0,20.0,none,Silicon dioxide. Mattifies and absorbs oil. Provides slip and soft-focus optical effect. Non-irritating.
DMAE,Firming Active,Skin firming/Anti-aging,moderate,yes,yes,yes,moderate,yes,aging|texture|dullness,redness|irritation (high %),adult|mature,consult,medium,0,4-8,0.1,3.0,none,Dimethylaminoethanol. Proposed firming mechanism debated. Can temporarily swell cells. Use at 0.5-2%. Not for pregnancy.
Palmitoyl Oligopeptide,Peptide Active,Anti-aging/Collagen support,yes,yes,yes,yes,yes,yes,aging|texture|dullness,none,adult|mature,consult,low,0,4-8,0.0001,0.1,none,Biopeptide EL. Palmitoyl-GHK. Stimulates collagen and hyaluronic acid synthesis. Very well tolerated.
Hyaluronan,Humectant Active,Long-chain HA moisture retention,yes,yes,yes,yes,yes,yes,dryness|aging|barrier|texture,none,all,yes,low,0,5-7,0.01,2.0,none,High molecular weight hyaluronic acid. Forms film on skin surface for immediate moisture. Complements low MW Sodium Hyaluronate.
Sodium Gluconate,Chelating/Humectant,Metal chelation/Moisturizing,yes,yes,yes,yes,yes,yes,dryness|barrier,none,all,yes,low,0,4-8,0.1,3.0,none,Sodium salt of gluconic acid. Gentle chelating agent and mild humectant. Very safe and well tolerated.
Sea Salt,Texture/Mineral,Exfoliating/Mineral supply/Osmotic,yes,moderate,yes,yes,caution,moderate,texture|pores|dullness,dryness|redness|sensitivity,teen|adult|mature,yes,medium,0,5-8,1.0,30.0,none,Sodium chloride from sea. Physical exfoliant in scrubs. Can sting on broken or sensitive skin. Rinse-off use only.
Snail Secretion Filtrate,Soothing/Repair Active,Repair/Moisturizing/Anti-aging/Soothing,yes,yes,yes,yes,yes,yes,aging|texture|barrier|acne|redness|hyperpigmentation,none,all,yes,low,0,4-7,0.5,96.0,none,Contains glycoproteins/mucopolysaccharides/glycolic acid/zinc/copper. Multi-benefit ingredient. Higher % used in dedicated snail mucin serums.
Beta-Glucan,Humectant/Soothing Active,Moisturizing/Soothing/Immune support,yes,yes,yes,yes,yes,yes,dryness|redness|sensitivity|barrier|aging,none,all,yes,low,0,4-7,0.1,10.0,none,Oat and yeast-derived polysaccharide. Activates skin innate immune response. Superb moisturiser and soothing agent for sensitive/mature skin.
Ectoin,Soothing/Protective Active,Anti-inflammatory/Barrier/DNA protection,yes,yes,yes,yes,yes,yes,redness|sensitivity|barrier|aging|dryness,none,all,yes,low,0,4-7,0.1,2.0,none,Natural extremolyte from halophilic bacteria. Stabilises skin proteins and DNA against environmental stress. Exceptional for sensitive skin.
Galactomyces Ferment Filtrate,Brightening/Anti-aging Active,Brightening/Pore minimizing/Skin texture,yes,yes,yes,yes,yes,yes,dullness|pores|texture|hyperpigmentation|aging,none,all,yes,low,0,4-7,1.0,95.0,none,Yeast ferment Pitera. Rich in vitamins/minerals/amino acids. Multibenefit brightening and pore-refining. Key ingredient in SK-II products.
Bifida Ferment Lysate,Probiotic/Barrier Active,Skin microbiome/Barrier/Anti-aging,yes,yes,yes,yes,yes,yes,barrier|sensitivity|redness|aging|dullness,none,all,yes,low,0,4-7,0.5,5.0,none,Probiotic-derived lysate. Strengthens skin microbiome diversity and barrier function. Excellent for sensitive and compromised skin.
Saccharomyces Ferment Filtrate,Probiotic/Moisturizing,Microbiome support/Moisturizing/Antioxidant,yes,yes,yes,yes,yes,yes,dryness|dullness|aging|barrier,none,all,yes,low,0,4-7,0.5,10.0,none,Yeast ferment filtrate. Brightening and moisturising. Contains vitamins B and amino acids. Synergises well with niacinamide.
Propolis Extract,Antioxidant/Antimicrobial Active,Antimicrobial/Antioxidant/Soothing,yes,yes,yes,yes,moderate,yes,acne|redness|aging|dullness|barrier,redness|sensitivity (bee product allergy),teen|adult|mature,consult,medium,0,4-7,0.1,5.0,none,Bee-derived resinous substance. Potent antimicrobial and antioxidant. Avoid if allergic to bees or bee products.
Artemisia Vulgaris Extract,Soothing Active,Soothing/Anti-inflammatory/Barrier,yes,yes,yes,yes,yes,yes,redness|sensitivity|barrier|acne|dryness,none,all,yes,low,0,4-7,0.1,10.0,none,Korean mugwort (Ssuk). Rich in flavonoids and monoterpenes. Excellent for eczema-prone and sensitive skin barrier repair.
Willow Bark Extract,Natural Exfoliant/Soothing,Natural salicin source/Soothing/Anti-inflammatory,yes,moderate,yes,yes,moderate,yes,acne|texture|redness|pores,sensitivity|dryness,teen|adult|mature,consult,medium,1,4-7,0.5,5.0,none,Contains salicin (natural BHA precursor). Gentler exfoliation than synthetic salicylic acid. Antioxidant polyphenols. Good for acne-prone skin.
Magnesium Ascorbyl Phosphate,Antioxidant/Brightening Active,Brightening/Stable Vitamin C/Antioxidant,yes,yes,yes,yes,yes,yes,hyperpigmentation|dullness|aging,none,all,yes,low,0,5-7,0.5,3.0,none,MAP. Stable water-soluble Vitamin C phosphate. Works at higher pH than ascorbic acid. Very gentle and suitable for sensitive skin.
4-Butylresorcinol,Brightening Active,Brightening/Tyrosinase inhibitor,yes,yes,yes,yes,yes,yes,hyperpigmentation|dullness,redness (rare),adult|mature,consult,low,0,4-7,0.1,1.0,none,Potent but gentle tyrosinase inhibitor. Effective at 0.3-1%. Low irritancy compared to kojic acid or hydroquinone.
